source,category,metric,model,model_label,n,gold_med,llm_med,p,cd,mag,sig
DPY,Arch Smell,God Component,claude-45haiku-10222025,Haiku,134,0.0,0.0,1.0,0.0,N,False
DPY,Arch Smell,Unstable Dependency,claude-45haiku-10222025,Haiku,134,0.0,0.0,1.0,0.0,N,False
DPY,Design Smell,Broken Hierarchy,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.31549809593780087,0.007406994876364446,N,False
DPY,Design Smell,Broken Modularization,claude-45haiku-10222025,Haiku,134,0.0,0.0,1.0,0.0,N,False
DPY,Design Smell,Deficient Encapsulation,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.21848159978337778,0.0284584539986634,N,False
DPY,Design Smell,Feature Envy,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.3198495233101657,-0.014591222989529962,N,False
DPY,Design Smell,Insuf. Modularization,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.025347318677468252,0.02946090443305859,N,True
DPY,Design Smell,Wide Hierarchy,claude-45haiku-10222025,Haiku,134,0.0,0.0,1.0,0.0,N,False
DPY,Impl Smell,Complex Method,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.00039706618250842044,0.11522610826464691,N,True
DPY,Impl Smell,Long Method,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.47448689004145184,0.007852528402762307,N,False
DPY,Impl Smell,Long Parameter List,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.6620844358861948,0.0,N,False
DPY,Impl Smell,Magic Number,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.17493192919283074,0.04171307640899978,N,False
DPY,Impl Smell,Long Statement,claude-45haiku-10222025,Haiku,134,0.0,1.0,2.159322894252105e-09,0.33565382044998887,M,True
DPY,Impl Smell,Complex Conditional,claude-45haiku-10222025,Haiku,134,0.0,0.0,0.31368568345973036,-0.015036756515927823,N,False
DPY,Arch Smell,God Component,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,1.0,0.0,N,False
DPY,Arch Smell,Unstable Dependency,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.4142161782425252,0.013935727038286055,N,False
DPY,Design Smell,Broken Hierarchy,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.31731050786291415,0.006943066851815116,N,False
DPY,Design Smell,Broken Modularization,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.9960128359491904,-0.006943066851815116,N,False
DPY,Design Smell,Deficient Encapsulation,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.48751243838386316,0.013687760365006943,N,False
DPY,Design Smell,Feature Envy,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.09854772331998266,-0.035211267605633804,N,False
DPY,Design Smell,Insuf. Modularization,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.01431108735269847,0.034764927593731405,N,True
DPY,Design Smell,Wide Hierarchy,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.1573017985809675,-0.014084507042253521,N,False
DPY,Impl Smell,Complex Method,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.00088076155043289,0.09467367585796468,N,True
DPY,Impl Smell,Long Method,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.04550026389635839,0.04840309462408252,N,True
DPY,Impl Smell,Long Parameter List,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.6570409766188943,-0.006794286847847649,N,False
DPY,Impl Smell,Magic Number,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.06121760660852374,0.040071414401904384,N,False
DPY,Impl Smell,Long Statement,claude-45sonnet-10132025,Sonnet,142,0.0,1.0,1.075329158599238e-09,0.3590557429081531,M,True
DPY,Impl Smell,Complex Conditional,claude-45sonnet-10132025,Sonnet,142,0.0,0.0,0.9929954409692072,-0.00014878000396746679,N,False
DPY,Arch Smell,God Component,codex,Codex,105,0.0,0.0,1.0,0.0,N,False
DPY,Arch Smell,Unstable Dependency,codex,Codex,105,0.0,0.0,0.31731050786291415,-0.00943310657596372,N,False
DPY,Design Smell,Broken Hierarchy,codex,Codex,105,0.0,0.0,0.9946011596134708,-9.070294784580499e-05,N,False
DPY,Design Smell,Broken Modularization,codex,Codex,105,0.0,0.0,0.31731050786291415,0.00018140589569160998,N,False
DPY,Design Smell,Deficient Encapsulation,codex,Codex,105,0.0,0.0,0.7564392211524515,0.01804988662131519,N,False
DPY,Design Smell,Feature Envy,codex,Codex,105,0.0,0.0,0.014315527336522641,-0.05668934240362812,N,True
DPY,Design Smell,Insuf. Modularization,codex,Codex,105,0.0,0.0,0.6641668153748762,0.00027210884353741496,N,False
DPY,Design Smell,Wide Hierarchy,codex,Codex,105,0.0,0.0,1.0,0.0,N,False
DPY,Impl Smell,Complex Method,codex,Codex,105,0.0,0.0,1.884051336346639e-05,0.20199546485260772,S,True
DPY,Impl Smell,Long Method,codex,Codex,105,0.0,0.0,0.7677053256545361,-0.007619047619047619,N,False
DPY,Impl Smell,Long Parameter List,codex,Codex,105,0.0,0.0,0.15730395860269486,-0.019138321995464853,N,False
DPY,Impl Smell,Magic Number,codex,Codex,105,0.0,0.0,0.02575931794715405,0.07664399092970521,N,True
DPY,Impl Smell,Long Statement,codex,Codex,105,0.0,0.0,0.3938593497922577,-0.0654875283446712,N,False
DPY,Impl Smell,Complex Conditional,codex,Codex,105,0.0,0.0,0.1769425082083902,-0.028480725623582767,N,False
DPY,Arch Smell,God Component,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,1.0,0.0,N,False
DPY,Arch Smell,Unstable Dependency,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.31731050786291415,-0.013155555555555556,N,False
DPY,Design Smell,Broken Hierarchy,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,1.0,0.0,N,False
DPY,Design Smell,Broken Modularization,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.31731050786291415,0.00017777777777777779,N,False
DPY,Design Smell,Deficient Encapsulation,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.4142161782425252,0.03857777777777778,N,False
DPY,Design Smell,Feature Envy,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.31731050786291415,-0.013333333333333334,N,False
DPY,Design Smell,Insuf. Modularization,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,1.0,0.0,N,False
DPY,Design Smell,Wide Hierarchy,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,1.0,0.0,N,False
DPY,Impl Smell,Complex Method,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.763024600552995,-0.023644444444444444,N,False
DPY,Impl Smell,Long Method,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.31731050786291415,-0.02631111111111111,N,False
DPY,Impl Smell,Long Parameter List,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.15730855579185,-0.02666666666666667,N,False
DPY,Impl Smell,Magic Number,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.7273672228662441,-0.026133333333333335,N,False
DPY,Impl Smell,Long Statement,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.964147736054145,0.00035555555555555557,N,False
DPY,Impl Smell,Complex Conditional,gemini-2-5-pro-nov17,Gemini,75,0.0,0.0,0.31081583820341785,-0.027022222222222222,N,False
DPY,Arch Smell,God Component,glm-4p5-10222025,GLM,112,0.0,0.0,1.0,0.0,N,False
DPY,Arch Smell,Unstable Dependency,glm-4p5-10222025,GLM,112,0.0,0.0,0.5637028616507731,0.008928571428571428,N,False
DPY,Design Smell,Broken Hierarchy,glm-4p5-10222025,GLM,112,0.0,0.0,0.31731050786291415,-0.008848852040816327,N,False
DPY,Design Smell,Broken Modularization,glm-4p5-10222025,GLM,112,0.0,0.0,0.31731050786291415,0.00015943877551020407,N,False
DPY,Design Smell,Deficient Encapsulation,glm-4p5-10222025,GLM,112,0.0,0.0,0.7054873665714219,0.008450255102040817,N,False
DPY,Design Smell,Feature Envy,glm-4p5-10222025,GLM,112,0.0,0.0,0.41639140880079717,-0.026068239795918366,N,False
DPY,Design Smell,Insuf. Modularization,glm-4p5-10222025,GLM,112,0.0,0.0,0.10170651786368166,0.03515625,N,False
DPY,Design Smell,Wide Hierarchy,glm-4p5-10222025,GLM,112,0.0,0.0,0.31731050786291415,-0.008928571428571428,N,False
DPY,Impl Smell,Complex Method,glm-4p5-10222025,GLM,112,0.0,0.0,0.00044880404002780623,0.16988201530612246,S,True
